problem,instance,method,backend,estimator_objective_evaluations,estimator_requested_shots,estimator_resilience_level,estimator_custom_mitigation_options,sampler_final_sampling_shots,sampler_custom_noise_management_options,final_bitstrings_from_raw_default_sampler,runtime_usage_seconds_if_available,wall_clock_seconds_if_available,paired_level0_overhead_measured,overhead_reporting_note
MSP,ms_seed0_prod2,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,3102.96,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed0_prod3,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,2524.66,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed0_prod4,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,2795.36,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed0_prod5,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,3660.26,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed1_prod2,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,5982.58,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed1_prod3,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,3451.67,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed1_prod4,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,4761.41,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed1_prod5,cvar_vqe,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,3664.55,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed0_prod2,ma_qaoa,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,4151.54,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed0_prod3,ma_qaoa,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,4263.8,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
MSP,ms_seed0_prod4,ma_qaoa,ibm_fez;ibm_marrakesh;ibm_torino,200,1000,2,none,1000,none,true,not_available_in_archived_metadata,8029.91,false,"Runtime-managed Estimator mitigation was requested through resilience_level=2. No paired resilience_level=0 execution was performed, so a circuit-specific mitigation-overhead multiplier is not estimated retrospectively."
