problem,instance,constraint_family,constraint_expression,penalty_symbol,raw_penalty_value,selection_rule_type,selection_formula,selection_inputs,objective_scale_reference,analytical_sufficiency_condition,sufficiency_condition_satisfied,qubo_normalization_applied,normalization_factor,normalization_stage,penalty_after_normalization,same_original_qubo_used_by_vqe,same_original_qubo_used_by_cvar_vqe,same_original_qubo_used_by_qaoa,same_original_qubo_used_by_maqaoa,same_original_qubo_used_by_wsqaoa,same_original_qubo_used_by_pce,same_original_qubo_used_by_qrao,constructor_source_file,constructor_function,code_commit_or_version,notes
MDKP,hp1,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,5124,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 4, ""linear_lower"": 0.0, ""linear_upper"": 5123.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 60, ""vars_before_stage"": 60}",pre-penalty objective_bound_range=5123; pre-penalty max_abs_objective_coefficient=1125,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,5124,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,hp2,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,6451,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 4, ""linear_lower"": 0.0, ""linear_upper"": 6450.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 67, ""vars_before_stage"": 67}",pre-penalty objective_bound_range=6450; pre-penalty max_abs_objective_coefficient=1125,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,6451,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pb1,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,4796,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 4, ""linear_lower"": 0.0, ""linear_upper"": 4795.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 59, ""vars_before_stage"": 59}",pre-penalty objective_bound_range=4795; pre-penalty max_abs_objective_coefficient=1125,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,4796,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pb2,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,5326,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 4, ""linear_lower"": 0.0, ""linear_upper"": 5325.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 66, ""vars_before_stage"": 66}",pre-penalty objective_bound_range=5325; pre-penalty max_abs_objective_coefficient=631,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,5326,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pb4,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,182685,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 2, ""linear_lower"": 0.0, ""linear_upper"": 182684.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 45, ""vars_before_stage"": 45}",pre-penalty objective_bound_range=182684; pre-penalty max_abs_objective_coefficient=32240,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,182685,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pb5,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,4022,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 10, ""linear_lower"": 0.0, ""linear_upper"": 4021.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 116, ""vars_before_stage"": 116}",pre-penalty objective_bound_range=4021; pre-penalty max_abs_objective_coefficient=308,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,4022,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pet2,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,125895,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 10, ""linear_lower"": 0.0, ""linear_upper"": 125894.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 99, ""vars_before_stage"": 99}",pre-penalty objective_bound_range=125894; pre-penalty max_abs_objective_coefficient=42000,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,125895,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pet3,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,5166,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 10, ""linear_lower"": 0.0, ""linear_upper"": 5165.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 102, ""vars_before_stage"": 102}",pre-penalty objective_bound_range=5165; pre-penalty max_abs_objective_coefficient=1300,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,5166,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pet4,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,8656,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 10, ""linear_lower"": 0.0, ""linear_upper"": 8655.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 107, ""vars_before_stage"": 107}",pre-penalty objective_bound_range=8655; pre-penalty max_abs_objective_coefficient=2550,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,8656,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
MDKP,pet5,capacity inequalities with binary-expanded integer slack,sum_i w_{ki} x_i + s_k - C_k = 0 after slack conversion,lambda_K,15496,analytical_auto_bound_from_qiskit_converter,lambda = 1.0 + (linear.upperbound - linear.lowerbound) + (quadratic.upperbound - quadratic.lowerbound),"{""constraints_converted"": 10, ""linear_lower"": 0.0, ""linear_upper"": 15495.0, ""quadratic_lower"": 0.0, ""quadratic_upper"": 0.0, ""stage"": ""LinearEqualityToPenalty"", ""vars_after_stage"": 122, ""vars_before_stage"": 122}",pre-penalty objective_bound_range=15495; pre-penalty max_abs_objective_coefficient=3100,"If lambda_K exceeds the pre-penalty objective bound range, any integer violation with squared magnitude at least 1 is dominated by the objective range.",true,false,1,none; QUBO passed directly to to_ising()/method encodings,15496,true,true,true,true,true,true,true,research_benchmark/src/qobench/qubo.py; qiskit_optimization.converters.LinearEqualityToPenalty/LinearInequalityToPenalty,convert_docplex_to_qubo(); QuadraticProgramToQubo.convert(); _auto_define_penalty(),eaea84b760548b665522e9149c79c4d0847567cb,Penalty term form: -sum_i p_i x_i + lambda_K sum_k (sum_i w_{ki}x_i + s_k - C_k)^2. All quantum methods construct or encode from this same converted QUBO; PCE/QRAO apply method-specific encodings after original QUBO construction.
