run_id,problem,instance,method,execution_mode,fidelity_estimate,n_decision_variables,candidate_selection_scope,optimizer_objective_evaluations,objective_shots_per_evaluation,final_sampling_shots,eligible_candidate_batches,eligible_candidate_count,native_decoder,candidate_selection_rule,tie_breaking_rule,feasibility_handling_before_selection,shared_local_refinement_applied,shared_local_refinement_rule,reported_primary_metric,reported_primary_value,reported_feasible,artifact_source,notes
mkp_ma_qaoa_hp1,MDKP,hp1,ma_qaoa,hardware,2.70351162892e-124,60,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,21.0649502633,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/hp1_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_hp2,MDKP,hp2,ma_qaoa,hardware,5.81075511168e-167,67,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,15.6622724419,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/hp2_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pb1,MDKP,pb1,ma_qaoa,hardware,4.03247908854e-122,59,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,27.8640776699,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pb1_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pb2,MDKP,pb2,ma_qaoa,hardware,2.39076853986e-160,66,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,44.5072190835,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pb2_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pb4,MDKP,pb4,ma_qaoa,hardware,1.55833218567e-66,45,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,27.6290349697,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pb4_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pb5,MDKP,pb5,ma_qaoa,hardware,5.86228280828e-259,116,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,28.0037400655,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pb5_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pet2,MDKP,pet2,ma_qaoa,hardware,3.21175452304e-133,99,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,30.9656447778,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pet2_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pet3,MDKP,pet3,ma_qaoa,hardware,3.61219903887e-180,102,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,27.5217932752,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pet3_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pet4,MDKP,pet4,ma_qaoa,hardware,2.27617602658e-235,107,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,14.3790849673,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pet4_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pet5,MDKP,pet5,ma_qaoa,hardware,0,122,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,26.2096774194,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pet5_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pet6,MDKP,pet6,ma_qaoa,hardware,3.22318144917e-257,86,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,39.8662648333,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pet6_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_ma_qaoa_pet7,MDKP,pet7,ma_qaoa,hardware,0,100,optimizer_trajectory_only,200,1000,0,200,200000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,28.9109270122,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_ma_qaoa/pet7_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_qaoa_hp1,MDKP,hp1,qaoa,hardware,3.06886200431e-127,60,optimizer_trajectory_only,56,1000,0,56,56000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,36.2200117028,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qaoa/hp1_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_qaoa_hp2,MDKP,hp2,qaoa,hardware,1.77468942717e-166,67,optimizer_trajectory_only,60,1000,0,60,60000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,19.6798493409,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qaoa/hp2_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_qaoa_pb1,MDKP,pb1,qaoa,hardware,4.12902364435e-118,59,optimizer_trajectory_only,49,1000,0,49,49000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,36.6666666667,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qaoa/pb1_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_qaoa_pb2,MDKP,pb2,qaoa,hardware,4.3992967256e-158,66,optimizer_trajectory_only,49,1000,0,49,49000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,42.1845574388,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qaoa/pb2_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
mkp_qaoa_pb4,MDKP,pb4,qaoa,hardware,2.01986574153e-65,45,optimizer_trajectory_only,57,1000,0,57,57000,qobench.QuboObjective.assignment,"select optimizer-evaluation batch with minimum expectation objective, then lowest-QUBO-energy bitstring within that batch","earliest lower optimizer value because code updates only on '<'; within a counts batch, lower energy then larger count",none; feasibility repair is not applied before candidate selection,True,one_round_local_swap,optimality_gap_percent,37.5262693342,True,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qaoa/pb4_dat/result.json,fidelity_estimate is a gate-count proxy reconstructed because saved artifacts omit calibration error rates
