problem,instance,method,logical_qubits,qaoa_depth,parameter_count,compilation_condition,backend_topology,backend_name_or_surrogate,optimization_level,layout_strategy,routing_strategy,use_fractional_gates,mitigation_compatibility_note,logical_two_qubit_gates,transpiled_two_qubit_gates,swap_count,two_qubit_depth,total_depth,estimated_fidelity_proxy,below_fidelity_0_1,below_fidelity_0_01,below_fidelity_1e_3,notes
MDKP,hp1,QAOA,60,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,3765,22621,5030,not_recorded_in_historical_artifact,12280,3.06886e-127,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MDKP,hp1,QAOA,60,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,3765,24918,5796,4736,13196,4.46526e-139,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MDKP,hp1,QAOA,60,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,3765,21153,5796,4082,11604,9.48903e-125,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MDKP,hp1,QAOA,60,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,3765,18075,3515,3513,10580,1.76593e-102,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MDKP,hp1,MA-QAOA,60,3,4125,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,3765,22019,4830,not_recorded_in_historical_artifact,12323,2.70351e-124,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MDKP,hp1,MA-QAOA,60,3,4125,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,3765,24918,5796,4736,13196,4.46526e-139,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MDKP,hp1,MA-QAOA,60,3,4125,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,3765,21153,5796,4082,11604,9.48903e-125,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MDKP,hp1,MA-QAOA,60,3,4125,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,3765,18075,3515,3513,10580,1.76593e-102,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MDKP,hp1,WS-QAOA,60,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,3765,23114,5195,not_recorded_in_historical_artifact,11945,7.2215e-130,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MDKP,hp1,WS-QAOA,60,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,3765,24918,5796,4736,13197,4.28589e-139,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
